"","VAR","COU","PAR","IND","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue"
"106","FD_CO2","AUT","WLD","D36T39","P1Y","TONNE","6","2018",0.226
"107","FD_CO2","AUT","WLD","D41T43","P1Y","TONNE","6","2018",1.695
"108","FD_CO2","AUT","WLD","D45T82","P1Y","TONNE","6","2018",17.016
"109","FD_CO2","AUT","WLD","D45T56","P1Y","TONNE","6","2018",14.892
"110","FD_CO2","AUT","WLD","D45T47","P1Y","TONNE","6","2018",1.767
"111","FD_CO2","AUT","WLD","D49T53","P1Y","TONNE","6","2018",12.62
"112","FD_CO2","AUT","WLD","D49","P1Y","TONNE","6","2018",5.278
"113","FD_CO2","AUT","WLD","D50","P1Y","TONNE","6","2018",2.567
"114","FD_CO2","AUT","WLD","D51","P1Y","TONNE","6","2018",4.045
"115","FD_CO2","AUT","WLD","D52","P1Y","TONNE","6","2018",0.554
"116","FD_CO2","AUT","WLD","D53","P1Y","TONNE","6","2018",0.176
"117","FD_CO2","AUT","WLD","D55T56","P1Y","TONNE","6","2018",0.505
"118","FD_CO2","AUT","WLD","D58T63","P1Y","TONNE","6","2018",0.384
"119","FD_CO2","AUT","WLD","D58T60","P1Y","TONNE","6","2018",0.078
"120","FD_CO2","AUT","WLD","D61","P1Y","TONNE","6","2018",0.084
"121","FD_CO2","AUT","WLD","D62T63","P1Y","TONNE","6","2018",0.222
"122","FD_CO2","AUT","WLD","D64T66","P1Y","TONNE","6","2018",0.273
"123","FD_CO2","AUT","WLD","D68","P1Y","TONNE","6","2018",0.429
"124","FD_CO2","AUT","WLD","D69T82","P1Y","TONNE","6","2018",1.039
"125","FD_CO2","AUT","WLD","D69T75","P1Y","TONNE","6","2018",0.498
"126","FD_CO2","AUT","WLD","D77T82","P1Y","TONNE","6","2018",0.541
"127","FD_CO2","AUT","WLD","D84T98","P1Y","TONNE","6","2018",2.576
"128","FD_CO2","AUT","WLD","D84T88","P1Y","TONNE","6","2018",2.217
"129","FD_CO2","AUT","WLD","D84","P1Y","TONNE","6","2018",0.717
"130","FD_CO2","AUT","WLD","D85","P1Y","TONNE","6","2018",0.558
"131","FD_CO2","AUT","WLD","D86T88","P1Y","TONNE","6","2018",0.943
"132","FD_CO2","AUT","WLD","D90T98","P1Y","TONNE","6","2018",0.359
"133","FD_CO2","AUT","WLD","D90T96","P1Y","TONNE","6","2018",0.359
"134","FD_CO2","AUT","WLD","D90T93","P1Y","TONNE","6","2018",0.176
"135","FD_CO2","AUT","WLD","D94T96","P1Y","TONNE","6","2018",0.182
"136","FD_CO2","AUT","WLD","D97T98","P1Y","TONNE","6","2018",0
"137","FD_CO2","AUT","WLD","D05T39","P1Y","TONNE","6","2018",44.016
"138","FD_CO2","AUT","WLD","D41T98","P1Y","TONNE","6","2018",21.287
"139","FD_CO2","AUT","WLD","D45T98","P1Y","TONNE","6","2018",19.592
"140","FD_CO2","AUT","WLD","D58T82","P1Y","TONNE","6","2018",2.124
"141","FD_CO2","AUT","WLD","DINFO","P1Y","TONNE","6","2018",0.549
"142","FD_CO2","AUT","WLD","DMHH","P1Y","TONNE","6","2018",18.811
"143","FD_CO2","BEL","WLD","DTOTAL","P1Y","TONNE","6","2018",126.651
"144","FD_CO2","BEL","WLD","D01T03","P1Y","TONNE","6","2018",2.588
"145","FD_CO2","BEL","WLD","D01T02","P1Y","TONNE","6","2018",2.408
"146","FD_CO2","BEL","WLD","D03","P1Y","TONNE","6","2018",0.18
"147","FD_CO2","BEL","WLD","D05T09","P1Y","TONNE","6","2018",5.359
"148","FD_CO2","BEL","WLD","D05T06","P1Y","TONNE","6","2018",4.191
"149","FD_CO2","BEL","WLD","D07T08","P1Y","TONNE","6","2018",1.057
"150","FD_CO2","BEL","WLD","D09","P1Y","TONNE","6","2018",0.111
"151","FD_CO2","BEL","WLD","D10T33","P1Y","TONNE","6","2018",29.392
"152","FD_CO2","BEL","WLD","D10T12","P1Y","TONNE","6","2018",1.875
"153","FD_CO2","BEL","WLD","D13T15","P1Y","TONNE","6","2018",0.328
"154","FD_CO2","BEL","WLD","D16T18","P1Y","TONNE","6","2018",0.743
"155","FD_CO2","BEL","WLD","D16","P1Y","TONNE","6","2018",0.129
"156","FD_CO2","BEL","WLD","D17T18","P1Y","TONNE","6","2018",0.613
"157","FD_CO2","BEL","WLD","D19T23","P1Y","TONNE","6","2018",13.365
"158","FD_CO2","BEL","WLD","D19","P1Y","TONNE","6","2018",4.245
"159","FD_CO2","BEL","WLD","D20T21","P1Y","TONNE","6","2018",4.428
"160","FD_CO2","BEL","WLD","D20","P1Y","TONNE","6","2018",3.011
"161","FD_CO2","BEL","WLD","D21","P1Y","TONNE","6","2018",1.417
"162","FD_CO2","BEL","WLD","D22","P1Y","TONNE","6","2018",1.272
"163","FD_CO2","BEL","WLD","D23","P1Y","TONNE","6","2018",3.42
"164","FD_CO2","BEL","WLD","D24T25","P1Y","TONNE","6","2018",9.645
"165","FD_CO2","BEL","WLD","D24","P1Y","TONNE","6","2018",9.392
"166","FD_CO2","BEL","WLD","D25","P1Y","TONNE","6","2018",0.254
"167","FD_CO2","BEL","WLD","D26T27","P1Y","TONNE","6","2018",0.294
"168","FD_CO2","BEL","WLD","D26","P1Y","TONNE","6","2018",0.173
"169","FD_CO2","BEL","WLD","D27","P1Y","TONNE","6","2018",0.121
"170","FD_CO2","BEL","WLD","D28","P1Y","TONNE","6","2018",0.222
"171","FD_CO2","BEL","WLD","D29T30","P1Y","TONNE","6","2018",0.284
"172","FD_CO2","BEL","WLD","D29","P1Y","TONNE","6","2018",0.193
"173","FD_CO2","BEL","WLD","D30","P1Y","TONNE","6","2018",0.091
"174","FD_CO2","BEL","WLD","D31T33","P1Y","TONNE","6","2018",2.637
"175","FD_CO2","BEL","WLD","D35T39","P1Y","TONNE","6","2018",30.751
"176","FD_CO2","BEL","WLD","D35","P1Y","TONNE","6","2018",30.485
"177","FD_CO2","BEL","WLD","D36T39","P1Y","TONNE","6","2018",0.266
"178","FD_CO2","BEL","WLD","D41T43","P1Y","TONNE","6","2018",1.284
"179","FD_CO2","BEL","WLD","D45T82","P1Y","TONNE","6","2018",26.253
"180","FD_CO2","BEL","WLD","D45T56","P1Y","TONNE","6","2018",21.708
